date,return_direction,prediction
2018-09-11,0,0.5921427827706623
2018-09-12,0,0.5921427827706623
2018-09-13,1,0.5921427827706623
2018-09-14,0,0.5921427827706623
2018-09-17,1,0.5921427827706623
2018-09-18,0,0.5921427827706623
2018-09-19,0,0.5921427827706623
2018-09-20,1,0.5921427827706623
2018-09-21,1,0.5921427827706623
2018-09-24,0,0.5921427827706623
2018-09-25,0,0.5921427827706623
2018-09-26,0,0.5921427827706623
2018-09-27,1,0.5921427827706623
2018-09-28,1,0.5921427827706623
2018-10-01,0,0.5921427827706623
2018-10-02,1,0.5921427827706623
2018-10-03,0,0.5921427827706623
2018-10-04,1,0.5921427827706623
2018-10-05,1,0.5921427827706623
2018-10-08,1,0.5921427827706623
2018-10-09,1,0.5921427827706623
2018-10-10,0,0.5921427827706623
2018-10-11,0,0.5921427827706623
2018-10-12,1,0.5921427827706623
2018-10-15,1,0.5921427827706623
2018-10-16,1,0.5921427827706623
2018-10-17,0,0.5921427827706623
2018-10-18,1,0.5921427827706623
2018-10-19,1,0.5921427827706623
2018-10-22,0,0.5921427827706623
2018-10-23,0,0.5921427827706623
2018-10-24,1,0.5921427827706623
2018-10-25,0,0.5921427827706623
2018-10-26,0,0.5921427827706623
2018-10-29,1,0.5921427827706623
2018-10-30,1,0.5921427827706623
2018-10-31,0,0.5921427827706623
2018-11-01,0,0.5921427827706623
2018-11-02,0,0.5921427827706623
2018-11-05,1,0.5921427827706623
2018-11-06,1,0.5921427827706623
2018-11-07,1,0.5921427827706623
2018-11-08,0,0.5921427827706623
2018-11-09,1,0.5921427827706623
2018-11-12,0,0.5921427827706623
2018-11-13,1,0.5921427827706623
2018-11-14,0,0.5921427827706623
2018-11-15,0,0.5921427827706623
2018-11-16,1,0.5921427827706623
2018-11-19,1,0.5921427827706623
2018-11-20,0,0.5921427827706623
2018-11-21,0,0.5921427827706623
2018-11-23,1,0.5921427827706623
2018-11-26,1,0.5921427827706623
2018-11-27,1,0.5921427827706623
2018-11-28,0,0.5921427827706623
2018-11-29,0,0.5921427827706623
2018-11-30,1,0.5921427827706623
2018-12-03,1,0.5921427827706623
2018-12-04,1,0.5921427827706623
2018-12-06,1,0.5921427827706623
2018-12-07,1,0.5921427827706623
2018-12-10,1,0.5921427827706623
2018-12-11,1,0.5921427827706623
2018-12-12,0,0.5921427827706623
2018-12-13,1,0.5921427827706623
2018-12-14,0,0.5921427827706623
2018-12-17,0,0.5921427827706623
2018-12-18,0,0.5921427827706623
2018-12-19,0,0.5921427827706623
2018-12-20,1,0.5921427827706623
2018-12-21,0,0.5921427827706623
2018-12-24,0,0.5921427827706623
2018-12-26,1,0.5921427827706623
2018-12-27,1,0.5921427827706623
2018-12-28,1,0.5921427827706623
2018-12-31,1,0.5921427827706623
2019-01-02,0,0.6433203149210879
2019-01-03,1,0.6433203149210879
2019-01-04,1,0.6433203149210879
2019-01-07,0,0.6433203149210879
2019-01-08,1,0.6433203149210879
2019-01-09,0,0.6433203149210879
2019-01-10,1,0.6433203149210879
2019-01-11,0,0.6433203149210879
2019-01-14,0,0.6433203149210879
2019-01-15,1,0.6433203149210879
2019-01-16,1,0.6433203149210879
2019-01-17,1,0.6433203149210879
2019-01-18,1,0.6433203149210879
2019-01-22,1,0.6433203149210879
2019-01-23,1,0.6433203149210879
2019-01-24,1,0.6433203149210879
2019-01-25,0,0.6433203149210879
2019-01-28,0,0.6433203149210879
2019-01-29,1,0.6433203149210879
2019-01-30,1,0.6433203149210879
2019-01-31,1,0.6433203149210879
2019-02-01,0,0.6433203149210879
2019-02-04,1,0.6433203149210879
2019-02-05,1,0.6433203149210879
2019-02-06,0,0.6433203149210879
2019-02-07,1,0.6433203149210879
2019-02-08,1,0.6433203149210879
2019-02-11,0,0.6433203149210879
2019-02-12,1,0.6433203149210879
2019-02-13,0,0.6433203149210879
2019-02-14,0,0.6433203149210879
2019-02-15,1,0.6433203149210879
2019-02-19,1,0.6433203149210879
2019-02-20,1,0.6433203149210879
2019-02-21,1,0.6433203149210879
2019-02-22,1,0.6433203149210879
2019-02-25,0,0.6433203149210879
2019-02-26,0,0.6433203149210879
2019-02-27,0,0.6433203149210879
2019-02-28,1,0.6433203149210879
2019-03-01,1,0.6433203149210879
2019-03-04,1,0.6433203149210879
2019-03-05,0,0.6433203149210879
2019-03-06,1,0.6433203149210879
2019-03-07,1,0.6433203149210879
2019-03-08,1,0.6433203149210879
2019-03-11,1,0.6433203149210879
2019-03-12,1,0.6433203149210879
2019-03-13,1,0.6433203149210879
2019-03-14,0,0.6433203149210879
2019-03-15,1,0.6433203149210879
2019-03-18,0,0.6433203149210879
2019-03-19,0,0.6433203149210879
2019-03-20,1,0.6433203149210879
2019-03-21,1,0.6433203149210879
2019-03-22,1,0.6433203149210879
2019-03-25,0,0.6433203149210879
2019-03-26,1,0.6433203149210879
2019-03-27,0,0.6433203149210879
2019-03-28,0,0.6433203149210879
2019-03-29,1,0.6433203149210879
2019-04-01,0,0.6433203149210879
2019-04-02,0,0.6433203149210879
2019-04-03,1,0.6433203149210879
2019-04-04,0,0.6433203149210879
2019-04-05,1,0.6433203149210879
2019-04-08,0,0.6433203149210879
2019-04-09,1,0.6433203149210879
2019-04-10,0,0.6433203149210879
2019-04-11,1,0.6433203149210879
2019-04-12,1,0.6433203149210879
2019-04-15,1,0.6433203149210879
2019-04-16,0,0.6433203149210879
2019-04-17,0,0.6433203149210879
2019-04-18,0,0.6433203149210879
2019-04-22,0,0.6433203149210879
2019-04-23,1,0.6433203149210879
2019-04-24,1,0.6433203149210879
2019-04-25,1,0.6433203149210879
2019-04-26,1,0.6433203149210879
2019-04-29,0,0.6433203149210879
2019-04-30,1,0.6433203149210879
2019-05-01,0,0.6433203149210879
2019-05-02,0,0.6433203149210879
2019-05-03,1,0.6433203149210879
2019-05-06,0,0.6433203149210879
2019-05-07,0,0.6433203149210879
2019-05-08,0,0.6433203149210879
2019-05-09,0,0.6433203149210879
2019-05-10,1,0.6433203149210879
2019-05-13,1,0.6433203149210879
2019-05-14,0,0.6433203149210879
2019-05-15,0,0.6433203149210879
2019-05-16,1,0.6433203149210879
2019-05-17,1,0.6433203149210879
2019-05-20,1,0.6433203149210879
2019-05-21,1,0.6433203149210879
2019-05-22,1,0.6433203149210879
2019-05-23,1,0.6433203149210879
2019-05-24,0,0.6433203149210879
2019-05-28,0,0.6433203149210879
2019-05-29,0,0.6433203149210879
2019-05-30,1,0.6433203149210879
2019-05-31,1,0.6433203149210879
2019-06-03,1,0.6433203149210879
2019-06-04,1,0.6433203149210879
2019-06-05,1,0.6433203149210879
2019-06-06,1,0.6433203149210879
2019-06-07,0,0.6433203149210879
2019-06-10,0,0.6433203149210879
2019-06-11,0,0.6433203149210879
2019-06-12,1,0.6433203149210879
2019-06-13,1,0.6433203149210879
2019-06-14,1,0.6433203149210879
2019-06-17,0,0.6433203149210879
2019-06-18,0,0.6433203149210879
2019-06-19,1,0.6433203149210879
2019-06-20,1,0.6433203149210879
2019-06-21,1,0.6433203149210879
2019-06-24,0,0.6433203149210879
2019-06-25,0,0.6433203149210879
2019-06-26,0,0.6433203149210879
2019-06-27,1,0.6433203149210879
2019-06-28,1,0.6433203149210879
2019-07-01,0,0.6433203149210879
2019-07-02,1,0.6433203149210879
2019-07-03,1,0.6433203149210879
2019-07-05,0,0.6433203149210879
2019-07-08,1,0.6433203149210879
2019-07-09,1,0.6433203149210879
2019-07-10,1,0.6433203149210879
2019-07-11,0,0.6433203149210879
2019-07-12,0,0.6433203149210879
2019-07-15,1,0.6433203149210879
2019-07-16,0,0.6433203149210879
2019-07-17,1,0.6433203149210879
2019-07-18,1,0.6433203149210879
2019-07-19,0,0.6433203149210879
2019-07-22,0,0.6433203149210879
2019-07-23,0,0.6433203149210879
2019-07-24,1,0.6433203149210879
2019-07-25,0,0.6433203149210879
2019-07-26,1,0.6433203149210879
2019-07-29,1,0.6433203149210879
2019-07-30,0,0.6433203149210879
2019-07-31,0,0.6433203149210879
2019-08-01,1,0.6433203149210879
2019-08-02,0,0.6433203149210879
2019-08-05,0,0.6433203149210879
2019-08-06,1,0.6433203149210879
2019-08-07,1,0.6433203149210879
2019-08-08,1,0.6433203149210879
2019-08-09,0,0.6433203149210879
2019-08-12,0,0.6433203149210879
2019-08-13,1,0.6433203149210879
2019-08-14,0,0.6433203149210879
2019-08-15,1,0.6433203149210879
2019-08-16,1,0.6433203149210879
2019-08-19,0,0.6433203149210879
2019-08-20,1,0.6433203149210879
2019-08-21,1,0.6433203149210879
2019-08-22,0,0.6433203149210879
2019-08-23,0,0.6433203149210879
2019-08-26,1,0.6433203149210879
2019-08-27,0,0.6433203149210879
2019-08-28,0,0.6433203149210879
2019-08-29,1,0.6433203149210879
2019-08-30,1,0.6433203149210879
2019-09-03,1,0.6433203149210879
2019-09-04,1,0.6433203149210879
2019-09-05,0,0.6433203149210879
2019-09-06,0,0.6433203149210879
2019-09-09,0,0.6433203149210879
2019-09-10,1,0.6433203149210879
2019-09-11,1,0.6433203149210879
2019-09-12,0,0.6433203149210879
2019-09-13,0,0.6433203149210879
2019-09-16,1,0.6433203149210879
2019-09-17,1,0.6433203149210879
2019-09-18,1,0.6433203149210879
2019-09-19,1,0.6433203149210879
2019-09-20,1,0.6433203149210879
2019-09-23,1,0.6433203149210879
2019-09-24,1,0.6433203149210879
2019-09-25,0,0.6433203149210879
2019-09-26,1,0.6433203149210879
2019-09-27,0,0.6433203149210879
2019-09-30,0,0.6433203149210879
2019-10-01,0,0.6433203149210879
2019-10-02,0,0.6433203149210879
2019-10-03,1,0.6433203149210879
2019-10-04,1,0.6433203149210879
2019-10-07,0,0.6433203149210879
2019-10-08,0,0.6433203149210879
2019-10-09,1,0.6433203149210879
2019-10-10,0,0.6433203149210879
2019-10-11,0,0.6433203149210879
2019-10-14,0,0.6433203149210879
2019-10-15,0,0.6433203149210879
2019-10-16,1,0.6433203149210879
2019-10-17,1,0.6433203149210879
2019-10-18,1,0.6433203149210879
2019-10-21,1,0.6433203149210879
2019-10-22,1,0.6433203149210879
2019-10-23,1,0.6433203149210879
2019-10-24,0,0.6433203149210879
2019-10-25,0,0.6433203149210879
2019-10-28,0,0.6433203149210879
2019-10-29,1,0.6433203149210879
2019-10-30,1,0.6433203149210879
2019-10-31,1,0.6433203149210879
2019-11-01,1,0.6433203149210879
2019-11-04,0,0.6433203149210879
2019-11-05,0,0.6433203149210879
2019-11-06,0,0.6433203149210879
2019-11-07,0,0.6433203149210879
2019-11-08,0,0.6433203149210879
2019-11-11,0,0.6433203149210879
2019-11-12,1,0.6433203149210879
2019-11-13,1,0.6433203149210879
2019-11-14,1,0.6433203149210879
2019-11-15,1,0.6433203149210879
2019-11-18,0,0.6433203149210879
2019-11-19,0,0.6433203149210879
2019-11-20,1,0.6433203149210879
2019-11-21,0,0.6433203149210879
2019-11-22,1,0.6433203149210879
2019-11-25,0,0.6433203149210879
2019-11-26,1,0.6433203149210879
2019-11-27,1,0.6433203149210879
2019-11-29,0,0.6433203149210879
2019-12-02,0,0.6433203149210879
2019-12-03,1,0.6433203149210879
2019-12-04,1,0.6433203149210879
2019-12-05,1,0.6433203149210879
2019-12-06,0,0.6433203149210879
2019-12-09,1,0.6433203149210879
2019-12-10,1,0.6433203149210879
2019-12-11,1,0.6433203149210879
2019-12-12,0,0.6433203149210879
2019-12-13,1,0.6433203149210879
2019-12-16,1,0.6433203149210879
2019-12-17,1,0.6433203149210879
2019-12-18,1,0.6433203149210879
2019-12-19,0,0.6433203149210879
2019-12-20,1,0.6433203149210879
2019-12-23,0,0.6433203149210879
2019-12-24,1,0.6433203149210879
2019-12-26,1,0.6433203149210879
2019-12-27,1,0.6433203149210879
2019-12-30,1,0.6433203149210879
2019-12-31,1,0.6433203149210879
2020-01-02,0,0.5536042199312206
2020-01-03,0,0.5536042199312206
2020-01-06,1,0.5536042199312206
2020-01-07,0,0.5529913596062493
2020-01-08,0,0.5536042199312206
2020-01-09,1,0.5536020300089699
2020-01-10,1,0.5536042199312206
2020-01-13,1,0.5536042199312206
2020-01-14,1,0.5521792770236363
2020-01-15,1,0.5536042199312206
2020-01-16,1,0.5536042199312206
2020-01-17,1,0.5536042199312206
2020-01-21,1,0.5536042199312206
2020-01-22,0,0.5516415980090021
2020-01-23,1,0.5536042199312206
2020-01-24,1,0.5536042199312206
2020-01-27,0,0.5536042199312206
2020-01-28,1,0.5536042199312206
2020-01-29,1,0.5536042199312206
2020-01-30,1,0.553479833992337
2020-01-31,0,0.5526175057742683
2020-02-03,1,0.5536042199312206
2020-02-04,0,0.5526243494286155
2020-02-05,1,0.5536042199312206
2020-02-06,0,0.5536042199312206
2020-02-07,0,0.5536042199312206
2020-02-10,1,0.5536042199312206
2020-02-11,1,0.5536042199312206
2020-02-12,0,0.5536042199312206
2020-02-13,1,0.5536042199312206
2020-02-14,1,0.5534128481816997
2020-02-18,1,0.5536042199312206
2020-02-19,0,0.5536042199312206
2020-02-20,1,0.5536042199312206
2020-02-21,0,0.5531922648607639
2020-02-24,0,0.5536042199312206
2020-02-25,0,0.5535123789559445
2020-02-26,0,0.5536042199312206
2020-02-27,0,0.5536042199312206
2020-02-28,0,0.5536042199312206
2020-03-02,1,0.5536042199312206
2020-03-03,0,0.5536042199312206
2020-03-04,1,0.5536042199312206
2020-03-05,0,0.5527357990277416
2020-03-06,0,0.5536042199312206
2020-03-09,0,0.5536042199312206
2020-03-10,1,0.5527166162002534
2020-03-11,0,0.5536042199312206
2020-03-12,0,0.5536042199312206
2020-03-13,1,0.5536042199312206
2020-03-16,0,0.5536042199312206
2020-03-17,1,0.5536042199312206
2020-03-18,0,0.5536042199312206
2020-03-19,0,0.5525172986537613
2020-03-20,0,0.5535942887147628
2020-03-23,0,0.5536042199312206
2020-03-24,1,0.5530161066137909
2020-03-25,1,0.5536042199312206
2020-03-26,1,0.5530119908639191
2020-03-27,1,0.5536042199312206
2020-03-30,1,0.5536042199312206
2020-03-31,0,0.5536042199312206
2020-04-01,0,0.5536042199312206
2020-04-02,1,0.5517803585980607
2020-04-03,0,0.5536042199312206
2020-04-06,1,0.5536042199312206
2020-04-07,0,0.5536042199312206
2020-04-08,1,0.5536042199312206
2020-04-09,1,0.5536042199312206
2020-04-13,0,0.5536042199312206
2020-04-14,1,0.5536042199312206
2020-04-15,0,0.5529252447110988
2020-04-16,1,0.5536042199312206
2020-04-17,1,0.5530299971075484
2020-04-20,0,0.5536042199312206
2020-04-21,0,0.5536042199312206
2020-04-22,1,0.5536042199312206
2020-04-23,0,0.5536042199312206
2020-04-24,1,0.5536042199312206
2020-04-27,1,0.5536042199312206
2020-04-28,1,0.5528788795562355
2020-04-29,0,0.5536042199312206
2020-04-30,0,0.5525493245029047
2020-05-01,0,0.5536042199312206
2020-05-04,1,0.5536042199312206
2020-05-05,1,0.5536042199312206
2020-05-06,0,0.5536042199312206
2020-05-07,1,0.5535029249682292
2020-05-08,1,0.5536042199312206
2020-05-11,0,0.5536042199312206
2020-05-12,0,0.5536042199312206
2020-05-13,0,0.5536042199312206
2020-05-14,1,0.5532880583995156
2020-05-15,0,0.5536042199312206
2020-05-18,1,0.5536042199312206
2020-05-19,0,0.5536042199312206
2020-05-20,1,0.5536042199312206
2020-05-21,0,0.5530054075435682
2020-05-22,1,0.5536042199312206
2020-05-26,1,0.5536042199312206
2020-05-27,1,0.5536042199312206
2020-05-28,1,0.5536042199312206
2020-05-29,1,0.5535026496256722
2020-06-01,1,0.5536042199312206
2020-06-02,1,0.5536042199312206
2020-06-03,1,0.5536042199312206
2020-06-04,0,0.5536042199312206
2020-06-05,1,0.5536042199312206
2020-06-08,1,0.5536042199312206
2020-06-09,0,0.5536042199312206
2020-06-10,0,0.5536042199312206
2020-06-11,0,0.5536042199312206
2020-06-12,1,0.5536042199312206
2020-06-15,1,0.5536042199312206
2020-06-16,1,0.552877398682442
2020-06-17,0,0.5536042199312206
2020-06-18,0,0.5532051444390815
2020-06-19,0,0.5536042199312206
2020-06-22,1,0.5536042199312206
2020-06-23,0,0.5529844283445031
2020-06-24,0,0.5536042199312206
2020-06-25,0,0.5531631075999617
2020-06-26,0,0.5536042199312206
2020-06-29,1,0.5536042199312206
2020-06-30,1,0.5531642229572405
2020-07-01,1,0.5536042199312206
2020-07-02,1,0.5532438693907437
2020-07-06,0,0.5527402395330534
2020-07-07,0,0.5536042199312206
2020-07-08,1,0.5536042199312206
2020-07-09,0,0.5536042199312206
2020-07-10,1,0.5536042199312206
2020-07-13,1,0.5529037728080322
2020-07-14,1,0.5533233637031748
2020-07-15,0,0.5536042199312206
2020-07-16,1,0.5536042199312206
2020-07-17,1,0.5536042199312206
2020-07-20,0,0.5536042199312206
2020-07-21,1,0.5536042199312206
2020-07-22,1,0.5536042199312206
2020-07-23,1,0.5536042199312206
2020-07-24,0,0.5532903532423352
2020-07-27,0,0.5536042199312206
2020-07-28,1,0.5528826510808013
2020-07-29,1,0.5536042199312206
2020-07-30,1,0.5526999718545754
2020-07-31,1,0.5536042199312206
2020-08-03,0,0.5529934967677221
2020-08-04,1,0.5533306048246014
2020-08-05,0,0.5536042199312206
2020-08-06,1,0.5533193413202354
2020-08-07,1,0.5536042199312206
2020-08-10,1,0.5536042199312206
2020-08-11,0,0.5536042199312206
2020-08-12,1,0.5536042199312206
2020-08-13,0,0.5536042199312206
2020-08-14,0,0.5532917177571586
2020-08-17,0,0.5536042199312206
2020-08-18,0,0.5536042199312206
2020-08-19,0,0.5536042199312206
2020-08-20,0,0.5525623954049418
2020-08-21,1,0.5536042199312206
2020-08-24,1,0.5536042199312206
2020-08-25,0,0.5536042199312206
2020-08-26,0,0.5536042199312206
2020-08-27,1,0.5535956224515649
2020-08-28,1,0.5536042199312206
2020-08-31,1,0.5536042199312206
2020-09-01,0,0.5536042199312206
2020-09-02,1,0.5536042199312206
2020-09-03,0,0.5533192005380843
2020-09-04,0,0.5536042199312206
2020-09-08,0,0.5536042199312206
2020-09-09,1,0.5536042199312206
2020-09-10,0,0.5536042199312206
2020-09-11,1,0.553534167811703
2020-09-14,1,0.5532354102110071
2020-09-15,0,0.5536042199312206
2020-09-16,1,0.5536042199312206
2020-09-17,0,0.5536042199312206
2020-09-18,0,0.5536042199312206
2020-09-21,0,0.5530658466551149
2020-09-22,1,0.5536042199312206
2020-09-23,0,0.5536042199312206
2020-09-24,1,0.5533552743025787
2020-09-25,1,0.5536042199312206
2020-09-28,0,0.5536042199312206
2020-09-29,0,0.5536042199312206
2020-09-30,1,0.5536042199312206
2020-10-01,1,0.5536042199312206
2020-10-02,1,0.5536042199312206
2020-10-05,1,0.5536042199312206
2020-10-06,1,0.5536042199312206
2020-10-07,1,0.5536042199312206
2020-10-08,1,0.5531592470428761
2020-10-09,0,0.5536042199312206
2020-10-12,1,0.5536042199312206
2020-10-13,0,0.5536042199312206
2020-10-14,1,0.5540537855139127
2020-10-15,1,0.5536042199312206
2020-10-16,1,0.5535846029098584
2020-10-19,0,0.5536042199312206
2020-10-20,1,0.5536042199312206
2020-10-21,0,0.5536042199312206
2020-10-22,1,0.5531910580033333
2020-10-23,1,0.5536042199312206
2020-10-26,0,0.5536042199312206
2020-10-27,0,0.5536042199312206
2020-10-28,0,0.5536042199312206
2020-10-29,1,0.551814518566503
2020-10-30,0,0.5536042199312206
2020-11-02,1,0.5536042199312206
2020-11-03,1,0.5536042199312206
2020-11-04,0,0.5536042199312206
2020-11-05,1,0.5536042199312206
2020-11-06,0,0.5536042199312206
2020-11-09,1,0.5536042199312206
2020-11-10,1,0.5532535260644027
2020-11-11,1,0.5536042199312206
2020-11-12,0,0.5536042199312206
2020-11-13,1,0.5536042199312206
2020-11-16,1,0.5536042199312206
2020-11-17,0,0.5524997143542878
2020-11-18,0,0.5536042199312206
2020-11-19,0,0.5536042199312206
2020-11-20,1,0.5536042199312206
2020-11-23,1,0.5526350214937514
2020-11-24,1,0.5536042199312206
2020-11-25,0,0.5536042199312206
2020-11-27,0,0.5536042199312206
2020-11-30,0,0.5521884515731462
2020-12-01,1,0.5536042199312206
2020-12-02,1,0.5527382040167123
2020-12-03,0,0.5536042199312206
2020-12-04,0,0.5536042199312206
2020-12-07,1,0.5536042199312206
2020-12-08,0,0.5536042199312206
2020-12-09,0,0.5536042199312206
2020-12-10,0,0.5536042199312206
2020-12-11,1,0.5536042199312206
2020-12-14,0,0.5536042199312206
2020-12-15,1,0.5516836278443134
2020-12-16,0,0.5536042199312206
2020-12-17,1,0.5536042199312206
2020-12-18,0,0.5536042199312206
2020-12-21,0,0.5536042199312206
2020-12-22,0,0.5536042199312206
2020-12-23,1,0.5536042199312206
2020-12-24,1,0.5533469405859779
2020-12-28,1,0.5536042199312206
2020-12-29,0,0.5536042199312206
2020-12-30,1,0.5523029678040965
2020-12-31,1,0.5536042199312206
